,Scaled_compound
0,1.4005571130285595
1,1.4386753202218012
2,-0.3027618477663393
3,-1.569148773564064
4,0.8406163704231033
5,0.7096921125976186
6,1.196133461179627
7,0.5810653450324922
8,0.6867827037320277
9,0.13488789211017746
10,-0.04118428857212913
11,-1.2781961154102388
12,1.1734487703570884
13,0.003733032753523255
14,-0.4342480280165407
15,0.4953620188589403
16,0.7205694551598082
17,0.9108243452481346
18,0.44614830801645006
19,-0.2523776315623834
20,0.501119023445332
21,-0.16620355233415454
22,0.9537619854910886
23,0.052641313746961245
24,-0.09812224230164089
25,0.8413864789769423
26,1.432330863560737
27,-0.2347311587086436
28,0.308321437508745
29,0.14065637937946188
30,1.6796913895428376
31,1.7018593441829306
32,-0.23312222505851418
33,0.25290972121881394
34,0.9581796077510261
35,0.5179573319464472
36,0.44051376874513726
37,1.0345087120458418
38,0.754315326288476
39,1.7853702395799784
40,-0.8218598334622651
41,0.5238603119424339
42,-0.41036565972713407
43,0.28755499431834486
44,-0.5783058178835244
45,0.3217190150789134
46,0.19770235575123077
47,0.0782837624733647
48,2.189564174947106
49,-0.7919854118892464
50,1.203931721287185
51,0.2817626780062057
52,-0.2551687977518596
53,0.5799185012684817
54,0.8145553505448252
55,-0.09587976545487667
56,-0.24134063205640083
57,-0.5351448584054096
58,0.8550052802536314
59,1.4130431249096347
60,0.4797959256241655
61,1.4349730714695068
62,-0.38211189553479186
63,-0.5020871762980644
64,0.2543571338575423
65,-0.3297224750012678
66,-1.1359462578002653
67,-1.2987059505139447
68,-0.10179496767126452
69,-1.2037074497272582
70,0.5505231444392026
71,0.8087771439962828
72,0.3005200667377041
73,-0.756519577822766
74,1.178897737489244
75,-0.17657895595521658
76,-0.8918059500504242
77,0.4417695224591114
78,-1.826988713270314
79,-1.482410303807974
80,-0.3026324372536676
81,0.27159585329240926
82,-1.3244318874978132
83,0.21869096544416636
84,-0.06635325915076427
85,-0.018824791704437977
86,-0.1857791340383268
87,-0.4496393021547794
88,1.189551353287653
89,-0.6488037436222471
90,1.0061697719959402
91,-0.2719126165754344
92,-0.08669357621674749
93,-1.0658791839632369
94,1.1807099906672425
95,2.387756405267832
96,-0.02276445777205382
97,-0.6716190835296401
98,0.31551379943090163
99,0.337922172009383
100,-1.0006043657558623
101,-2.587568753532544
102,0.17385872406911082
103,-0.08049187297615842
104,1.2277261979578493
105,0.24999975218266934
106,0.6897681835805879
